year,month,mean_celsius,global_month_avg,total_disasters,total_damages,total_deaths
1996,1,13.3380107406576,12.669920706176,2,16365,4
1996,2,11.2277624909483,13.0912010003998,0,0,0
1996,3,12.6737250237866,14.5910744656313,0,0,0
1996,4,15.4740013742554,16.1153823418336,0,0,0
1996,5,16.8821808740804,18.0436867225222,0,0,0
1996,6,20.0849185946874,20.1420647693337,0,0,0
1996,7,20.5503705263159,21.1403370678311,0,0,0
1996,8,20.1217949808593,21.172382001587,0,0,0
1996,9,18.0034918143081,19.5120029076732,0,0,0
1996,10,17.0385215874399,17.6402288796734,1,27,1
1996,11,14.1874267027512,14.8497615412401,0,0,0
1996,12,12.0091127786358,13.1162410751787,0,0,0
1997,1,10.9710018009903,12.669920706176,1,0,23
1997,2,13.8342579374843,13.0912010003998,0,0,0
1997,3,15.513680104031,14.5910744656313,0,0,0
1997,4,16.2691468470433,16.1153823418336,1,26881,0
1997,5,18.5459439252337,18.0436867225222,0,0,0
1997,6,19.3944312952006,20.1420647693337,0,0,0
1997,7,20.4331446409991,21.1403370678311,1,0,0
1997,8,22.0822274176411,21.172382001587,0,0,0
1997,9,19.9790350488022,19.5120029076732,0,0,0
1997,10,17.9636764395698,17.6402288796734,0,0,0
1997,11,15.4686162969469,14.8497615412401,0,0,0
1997,12,13.7126181353764,13.1162410751787,0,0,0
1998,1,13.3864897873234,12.669920706176,2,0,15
1998,2,14.0181395891688,13.0912010003998,0,0,0
1998,3,15.1654291845491,14.5910744656313,0,0,0
1998,4,15.4748267490618,16.1153823418336,0,0,0
1998,5,18.6216573033708,18.0436867225222,0,0,0
1998,6,19.6656915949703,20.1420647693337,0,0,0
1998,7,20.5548855291578,21.1403370678311,0,0,0
1998,8,21.1567083153815,21.172382001587,0,0,0
1998,9,19.4469390519188,19.5120029076732,0,0,0
1998,10,16.7860344827585,17.6402288796734,0,0,0
1998,11,13.033360674413,14.8497615412401,0,0,0
1998,12,12.3094797557111,13.1162410751787,0,0,0
1999,1,12.696353426541,12.669920706176,1,0,0
1999,2,12.0392442011986,13.0912010003998,2,28342,11
1999,3,14.2612300683368,14.5910744656313,0,0,0
1999,4,16.0277981231401,16.1153823418336,0,0,0
1999,5,18.7926233766234,18.0436867225222,1,0,3
1999,6,19.5018743109152,20.1420647693337,0,0,0
1999,7,21.4538735529832,21.1403370678311,1,0,0
1999,8,21.1249362437866,21.172382001587,0,0,0
1999,9,20.098544912924,19.5120029076732,0,0,0
1999,10,16.9563656683057,17.6402288796734,0,0,0
1999,11,12.9162288340587,14.8497615412401,1,2316760,36
1999,12,12.3934728610853,13.1162410751787,2,32702574,96
2000,1,10.7935709160485,12.669920706176,0,0,0
2000,2,13.1267196309582,13.0912010003998,0,0,0
2000,3,13.4251414982161,14.5910744656313,0,0,0
2000,4,15.1068247821875,16.1153823418336,0,0,0
2000,5,18.8122599374721,18.0436867225222,1,0,2
2000,6,20.3884316840673,20.1420647693337,1,0,1
2000,7,20.2199664579607,21.1403370678311,1,0,1
2000,8,20.9587672145713,21.172382001587,0,0,0
2000,9,19.2501374255612,19.5120029076732,1,0,6
2000,10,16.6583994559057,17.6402288796734,0,0,0
2000,11,14.3842252862819,14.8497615412401,1,0,1
2000,12,13.8576460293153,13.1162410751787,2,0,0
2001,1,12.8615418405447,12.669920706176,1,0,0
2001,2,12.8374790318716,13.0912010003998,0,0,0
2001,3,15.5183379266483,14.5910744656313,1,334889,3
2001,4,15.1484273923712,16.1153823418336,1,0,0
2001,5,18.2515397775877,18.0436867225222,0,0,0
2001,6,19.6703977396218,20.1420647693337,0,0,0
2001,7,20.6522732169792,21.1403370678311,3,0,12
2001,8,21.542952442436,21.172382001587,0,0,0
2001,9,18.0972688605328,19.5120029076732,0,0,0
2001,10,18.192427911072,17.6402288796734,1,0,2
2001,11,13.1468904912122,14.8497615412401,0,0,0
2001,12,10.848972972973,13.1162410751787,0,0,0
2002,1,12.2255736244153,12.669920706176,1,0,0
2002,2,13.4017283950617,13.0912010003998,0,0,0
2002,3,14.0152437628748,14.5910744656313,1,0,1
2002,4,15.2451011959521,16.1153823418336,0,0,0
2002,5,16.8887000662106,18.0436867225222,0,0,0
2002,6,19.2488192552225,20.1420647693337,0,0,0
